Town_proper,slug,Town_upper,birthrate,deathrate,pop2012,pop2016,births2016,deaths2016,change5yr
Weybridge,WEYBRIDGE,WEYBRIDGE,0.724931169,0.652701487,827,825,4,7,-0.00241838
Wheelock,WHEELOCK,WHEELOCK,0.81912589,0.570086535,808,810,6,6,0.002475248
Whiting,WHITING,WHITING,1.42548868,0.954721593,420,414,4,6,-0.014285714
Whitingham,WHITINGHAM,WHITINGHAM,1.045167349,0.984907575,1350,1321,12,11,-0.021481481
Williamstown,WILLIAMSTOWN,WILLIAMSTOWN,0.92378908,1.118629793,3394,3446,34,35,0.015321155
Williston,WILLISTON,WILLISTON,0.822823043,0.708948977,8962,9578,93,74,0.068734657
Wilmington,WILMINGTON,WILMINGTON,0.999910409,0.956833857,1853,1817,15,17,-0.019427955
Windham,WINDHAM,WINDHAM,0.726822053,0.866105214,416,407,5,1,-0.021634615
Windsor,WINDSOR,WINDSOR,1.176738326,1.764518058,3498,3419,41,65,-0.022584334
Winhall,WINHALL,WINHALL,0.449572054,0.686034944,762,753,9,8,-0.011811024
Winooski,WINOOSKI,WINOOSKI,1.478746053,0.832199153,7239,7128,96,46,-0.01533361
Wolcott,WOLCOTT,WOLCOTT,1.150501114,0.627526375,1720,1715,23,15,-0.002906977
Woodbury,WOODBURY,WOODBURY,0.694188308,0.761855696,901,886,7,8,-0.016648169
Woodford,WOODFORD,WOODFORD,0.96763751,0.678152307,418,408,1,4,-0.023923445
Woodstock,WOODSTOCK,WOODSTOCK,0.649468372,1.351930619,3012,2952,19,42,-0.019920319
Worcester,WORCESTER,WORCESTER,0.82293543,0.721495569,1001,1013,6,6,0.011988012
